id,state_abbr,location,name,lat,lon,remove
ANNthr,AK,Annette,,55.06,-131.54,TRUE
ATHO1thr,OH,Athens,,39.33,-82.1,TRUE
ACYthr,NJ,Atlantic City,,39.36,-74.43,TRUE
AUSthr,TX,Austin-Bergstrom Airport,,30.2,-97.67,TRUE
DMHthr,MD,Baltimore Downtown,,39.29,-76.62,TRUE
BROO3thr,OR,Brookings,,42.05,-124.29,TRUE
BRCN7thr,NC,Bryson City,,35.42,-83.45,TRUE
TKKthr,FM,Chuuk,,7.45,151.81,TRUE
GUMthr,GU,Guam,,13.44,144.78,TRUE
JKLthr,KY,Jackson,,37.56,-83.38,TRUE
TKRthr,PW,Koror,,7.27,134.42,TRUE
KWAthr,MH,Kwajalein,,8.72,167.73,TRUE
LAXthr,CA,Los Angeles Airport,,33.94,-118.41,TRUE
KMRthr,MH,Majuro,,7.09,171.38,TRUE
JFKthr,NY,New York-Kennedy Airport,,40.67,-73.77,TRUE
LGAthr,NY,New York-LGA,,40.71,-74.01,TRUE
ORDN1thr,NE,Ord,,41.6,-98.93,TRUE
STUthr,AS,Pago Pago,,-14.27,-170.7,TRUE
PFIP1thr,PA,Philadelphia Center City,,39.95,-75.17,TRUE
TTPthr,FM,Pohnpei,,6.96,158.21,TRUE
PDXthr,OR,Portland,,45.51,-122.68,TRUE
RNMthr,CA,Ramona,,33.04,-116.87,TRUE
RAPthr,SD,Rapid City,,44.08,-103.23,TRUE
SACthr,CA,Sacramento,,38.58,-121.49,TRUE
GSNthr,MP,Saipan,,15.21,145.72,TRUE
WAKthr,UM,Wake Island,,19.31,166.6,TRUE
WASS1thr,SC,Ware Shoals,,34.4,-82.25,TRUE
WDSR1thr,SC,Woodruff,,34.74,-82.04,TRUE
TYAthr,FM,Yap,,9.54,138.1,TRUE
ZZVthr,OH,Zanesville,,39.94,-82,TRUE
ABRthr,SD,Aberdeen,,45.46,-98.49,
ABIthr,TX,Abilene,,32.45,-99.74,
AKIS1thr,SC,Aiken,,33.56,-81.72,
CAKthr,OH,Akron,,41.08,-81.51,
ALSthr,CO,Alamosa,,37.47,-105.87,
ABYthr,GA,Albany,,31.58,-84.16,
ALBthr,NY,Albany,,42.65,-73.76,
ABQthr,NM,Albuquerque,,35.08,-106.65,
ABEthr,PA,Allentown,,40.6,-75.47,
APNthr,MI,Alpena,,45.06,-83.45,
AATthr,CA,Alturas,,41.49,-120.54,
AMAthr,TX,Amarillo,,35.21,-101.83,
AFLI1thr,ID,American Falls,,42.78,-112.85,
ANCthr,AK,Anchorage,,61.22,-149.86,
NAKthr,MD,Annapolis,,38.98,-76.49,
AVLthr,NC,Asheville,,35.6,-82.55,
ASXthr,WI,Ashland,,46.59,-90.89,
ASTthr,OR,Astoria,,46.19,-123.83,
AHNthr,GA,Athens,,33.96,-83.37,
ATLthr,GA,Atlanta,,33.75,-84.39,
55Nthr,NJ,Atlantic City Marina,Atlantic City,39.36,-74.43,
AGSthr,GA,Augusta,,33.48,-81.98,
ATTthr,TX,Austin,,30.27,-97.74,
AVPthr,PA,Avoca,,41.34,-75.74,
BKEthr,OR,Baker City,,44.77,-117.83,
BFLthr,CA,Bakersfield,,35.37,-119.02,
BWIthr,MD,Baltimore,,39.29,-76.61,
BGRthr,ME,Bangor,,44.8,-68.77,
BRWthr,AK,Barrow,,71.29,-156.79,
BTRthr,LA,Baton Rouge,,30.44,-91.19,
BTLthr,MI,Battle Creek,,42.32,-85.18,
BPTthr,TX,Beaumont-Port Arthur,,29.88,-93.94,
BKWthr,WV,Beckley,,37.78,-81.19,
BELN4thr,NJ,Belvidere,,40.83,-75.08,
BETthr,AK,Bethel,,60.79,-161.76,
BTTthr,AK,Bettles,,66.92,-151.52,
BILthr,MT,Billings,,45.78,-108.51,
BGMthr,NY,Binghamton,,42.1,-75.91,
BHMthr,AL,Birmingham,,33.52,-86.81,
BIHthr,CA,Bishop,,37.37,-118.4,
BISthr,ND,Bismarck,,46.81,-100.78,
RNKthr,VA,Blacksburg,,37.23,-80.41,
BLFthr,WV,Bluefield,,37.27,-81.22,
BOIthr,ID,Boise,,43.61,-116.19,
BVLA4thr,AR,Booneville,,35.14,-93.92,
BGDthr,TX,Borger,,35.67,-101.39,
BOSthr,MA,Boston,,42.36,-71.06,
BRDthr,MN,Brainerd,,46.35,-94.2,
BDRthr,CT,Bridgeport,,41.18,-73.19,
TRIthr,TN,Bristol-Johnson City,,36.29,-82.41,
BKVthr,FL,Brooksville,,28.55,-82.39,
BROthr,TX,Brownsville,,25.9,-97.5,
BUFthr,NY,Buffalo,,42.89,-78.88,
BURthr,CA,Burbank-Glendale-Pasadena,,34.21,-118.22,
BYIthr,ID,Burley,,42.54,-113.79,
BRLthr,IA,Burlington,,40.81,-91.1,
BTVthr,VT,Burlington,,44.48,-73.21,
BNOthr,OR,Burns,,43.59,-119.05,
CAES1thr,SC,Caesars Head,,35.12,-82.65,
CMAthr,CA,Camarillo,,34.22,-119.05,
HSEthr,NC,Cape Hatteras,,35.22,-75.53,
MDHthr,IL,Carbondale,,37.73,-89.22,
CARthr,ME,Caribou,,46.86,-68.01,
CPRthr,WY,Casper,,42.85,-106.33,
CIDthr,IA,Cedar Rapids,,41.98,-91.67,
LLJthr,ID,Challis,,44.5,-114.24,
CHSthr,SC,Charleston,,32.78,-79.93,
CRWthr,WV,Charleston,,38.35,-81.64,
CXMthr,SC,Charleston Downtown,Charleston,32.78,-79.93,
CLTthr,NC,Charlotte,,35.22,-80.84,
CHOthr,VA,Charlottesville,,38.03,-78.48,
CHAthr,TN,Chattanooga,,35.05,-85.31,
CYSthr,WY,Cheyenne,,41.13,-104.82,
ORDthr,IL,Chicago,,41.88,-87.63,
CDSthr,TX,Childress,,34.43,-100.21,
CVGthr,OH,Cincinnati,,39.16,-84.46,
CKBthr,WV,Clarksburg,,39.28,-80.34,
CAOthr,NM,Clayton,,36.45,-103.18,
CLEthr,OH,Cleveland,,41.5,-81.69,
CDBthr,AK,Cold Bay,,55.21,-162.72,
CLLthr,TX,College Station,,30.62,-96.33,
COSthr,CO,Colorado Springs,,38.83,-104.82,
CAEthr,SC,Columbia,,34,-81.05,
COUthr,MO,Columbia,,38.95,-92.33,
CMHthr,OH,Columbus,,39.96,-83,
CSGthr,GA,Columbus,,32.46,-84.99,
CUSM6thr,MS,Columbus,,33.5,-88.43,
CONthr,NH,Concord,,43.21,-71.54,
CNKthr,KS,Concordia,,39.57,-97.66,
CRPthr,TX,Corpus Christi,,27.8,-97.4,
CECthr,CA,Crescent City,,41.75,-124.2,
DALthr,TX,Dallas,,32.78,-96.8,TRUE
DFWthr,TX,Dallas-Fort Worth,,32.86,-97.04,
DANthr,VA,Danville,,36.59,-79.42,
DAYthr,OH,Dayton,,39.76,-84.19,
DABthr,FL,Daytona Beach,,29.2,-81.04,
DERM8thr,MT,Deer Lodge,,46.4,-112.74,
DRTthr,TX,Del Rio,,29.37,-100.9,
BIGthr,AK,Delta Junction,,64.05,-145.74,
DENthr,CO,Denver,,39.74,-104.99,
DEQthr,AR,Dequeen,,34.04,-94.34,
DSMthr,IA,Des Moines,,41.59,-93.62,
DTWthr,MI,Detroit,,42.33,-83.05,
DDCthr,KS,Dodge City,,37.75,-100.02,
DBQthr,IA,Dubuque,,42.5,-90.66,
DLHthr,MN,Duluth,,46.79,-92.1,
DWRI1thr,ID,Dworshak,,46.49,-116.25,
EAUthr,WI,Eau Claire,,44.82,-91.5,
ELJC1thr,CA,El Cajon,,32.79,-116.96,
IPLthr,CA,El Centro,,32.8,-115.57,
ELPthr,TX,El Paso,,31.76,-106.49,
ECGthr,NC,Elizabeth City,,36.3,-76.22,
EKNthr,WV,Elkins,,38.92,-79.84,
EKOthr,NV,Elko,,40.84,-115.77,
ELYthr,NV,Ely,,39.25,-114.89,
ERIthr,PA,Erie,,42.13,-80.09,
ESCC1thr,CA,Escondido,,33.12,-117.08,
EUGthr,OR,Eugene,,44.05,-123.09,
EKAthr,CA,Eureka,,40.8,-124.16,
P68thr,NV,Eureka,,39.52,-115.96,
EVVthr,IN,Evansville,,37.98,-87.56,
FAIthr,AK,Fairbanks,,64.85,-147.72,
FARthr,ND,Fargo,,46.88,-96.78,
FAYthr,NC,Fayetteville,,35.06,-78.88,
FLGthr,AZ,Flagstaff,,35.2,-111.65,
FNTthr,MI,Flint,,43.01,-83.69,
FLLthr,FL,Fort Lauderdale,,26.12,-80.14,
FMYthr,FL,Fort Myers,,26.64,-81.87,
FPRthr,FL,Fort Pierce,,27.45,-80.33,
FSMthr,AR,Fort Smith,,35.38,-94.42,
FWAthr,IN,Fort Wayne,,41.08,-85.14,
PTDN6thr,NY,Fredonia,,42.44,-79.33,
FATthr,CA,Fresno,,36.74,-119.79,
GNVthr,FL,Gainesville,,29.65,-82.32,
GLSthr,TX,Galveston,,29.3,-94.81,
GEDthr,DE,Georgetown,,38.69,-75.39,
GGWthr,MT,Glasgow,,48.2,-106.64,
GFLthr,NY,Glens Falls,,43.31,-73.64,
GLDthr,KS,Goodland,,39.37,-101.71,
GFKthr,ND,Grand Forks,,47.92,-97.03,
GRIthr,NE,Grand Island,,40.92,-98.34,
GJTthr,CO,Grand Junction,,39.07,-108.56,
GRRthr,MI,Grand Rapids,,42.97,-85.67,
GTFthr,MT,Great Falls,,47.51,-111.31,
GRBthr,WI,Green Bay,,44.51,-88.01,
GSOthr,NC,Greensboro,,36.07,-79.8,
GLHthr,MS,Greenville,,33.4,-91.04,
GSPthr,SC,Greenville,,34.94,-82.03,
GWOthr,MS,Greenwood,,33.52,-90.18,
GPTthr,MS,Gulfport,,30.38,-89.09,
GKNthr,AK,Gulkana,,62.27,-145.38,
HGRthr,MD,Hagerstown,,39.64,-77.72,
HJOthr,CA,Hanford,,36.33,-119.65,
HROthr,AR,Harrison,,36.23,-93.11,
BDLthr,CT,Hartford,,41.76,-72.67,
HSIthr,NE,Hastings,,40.59,-98.39,
HBGthr,MS,Hattiesburg,,31.33,-89.29,
HVRthr,MT,Havre,,48.55,-109.67,
HYRthr,WI,Hayward,,46.01,-91.48,
HLNthr,MT,Helena,,46.59,-112.02,
HIBthr,MN,Hibbing,,47.42,-92.94,
HIOthr,OR,Hillsboro,,45.52,-122.99,
ITOthr,HI,Hilo,,19.72,-155.08,
BIVthr,MI,Holland,,42.77,-86.1,
HOMthr,AK,Homer,,59.65,-151.54,
HNLthr,HI,Honolulu,,21.3,-157.86,
HTLthr,MI,Houghton Lake,,44.31,-84.76,
IAHthr,TX,Houston,,29.76,-95.37,
HTSthr,WV,Huntington,,38.42,-82.45,
HSVthr,AL,Huntsville,,34.73,-86.59,
HONthr,SD,Huron,,44.36,-98.21,
INDthr,IN,Indianapolis,,39.77,-86.15,
INLthr,MN,International Falls,,48.6,-93.4,
ISPthr,NY,Islip,,40.73,-73.22,
JANthr,MS,Jackson,,32.3,-90.18,
JAXthr,FL,Jacksonville,,30.33,-81.66,
JSTN6thr,NY,Jamestown,,42.1,-79.24,
JEFthr,MO,Jefferson City,,38.58,-92.18,
JERthr,ID,Jerome,,42.72,-114.52,
JBRthr,AR,Jonesboro,,35.84,-90.71,
JNUthr,AK,Juneau,,58.3,-134.41,
OGGthr,HI,Kahului,,20.89,-156.47,
AZOthr,MI,Kalamazoo,,42.29,-85.59,
FCAthr,MT,Kalispell,,48.2,-114.31,
MCIthr,MO,Kansas City,,39.1,-94.58,
EYWthr,FL,Key West,,24.55,-81.8,
AKNthr,AK,King Salmon,,58.7,-156.7,
IGMthr,AZ,Kingman,,35.19,-114.06,
LMTthr,OR,Klamath Falls,,42.22,-121.78,
TYSthr,TN,Knoxville,,35.96,-83.92,
ADQthr,AK,Kodiak,,57.8,-152.39,
